X	SMILES	REFIDX_R	REFIDX_G	REFIDX_B	Molecular.Weight	Molecular.Weight.Except.Hydrogens	Maximum.Partial.Charge	Minimum.Partial.Charge	Number.of.Labute.Accessible.Surface.Area	Number.of.Topological.Polar.Surface.Area	Number.of.Aromatic.Carbocycles	Number.of.Aromatic.Heterocycles	Number.of.H.bond.Acceptor	Number.of.Lipinski.H.bond.Acceptor	Number.of.Heteroatoms
390	ClC1=CC=C2C=C(C3=CC=C(N(C4=CC=C(C5=NC6=C(C=CC=C6)S5)C=C4)C4=CC=C(C5=NC6=C(C=CC=C6)S5)C=C4)C=C3)C=CC2=C1	1.9845	2.3219	2.6619	671.1256675	646.07	0.124105151	-0.310504445	290.5449901	29.02	7	2	0	0	6
391	BrC1=CC=C2C(=C1)C1=CC=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=CC=C3C3=C4C=CC(I)=C3)=NC(C3=NC4=C(O3)C3=CC=CC=C3C3=C4C=CC=C3)=N2)S1	1.9988	2.3216	2.6414	967.9524614	947.511	0.265765777	-0.432842986	363.2599959	90.48	9	4	0	0	11
392	BrC1=CC=C2C=C(C3=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=N3)C=CC2=C1	2.0131	2.3208	2.5996	1062.692048	1050.162	0.192480795	-0.231940186	362.0910419	64.45	8	3	0	0	12
393	BrC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC(Br)=C4)=NC(C4=NC5=C(S4)C4=CC=CC=C4C4=C5C=CC=C4)=N3)SC2=C1	2.0053	2.3206	2.6319	835.9121818	820.491	0.192563441	-0.232623517	317.3484104	77.34	7	4	0	0	11
394	BrC1=CC=C2C(=C1)C1=CC(Br)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=C(C=C(Br)C=C3)C3=CC(Br)=CC=C34)=NC(C3=NC4=C(C=C(I)C(I)=C4)S3)=N2)S1	1.9943	2.3203	2.6518	1243.526502	1234.107	0.192563441	-0.23258437	383.6071818	77.34	7	4	0	0	15
395	ClC1=CC=C2C(=C1)C1=C(C=CC(Cl)=C1)C1=C2N=C(C2=NC(C3=CC4=CC=C(Br)C=C4C=C3)=NC(C3=NC4=C(S3)C3=C(C=C(Cl)C=C3)C3=CC(Cl)=CC=C34)=N2)S1	2.0126	2.32	2.5983	886.8941104	872.358	0.192480795	-0.231940182	347.8339164	64.45	8	3	0	0	12
396	ClC1=CC=C2SC(C3=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(Cl)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Br)C=C4)C4=CC(Br)=CC=C45)=N3)=NC2=C1	2.0056	2.3199	2.6299	903.8342371	891.397	0.192563441	-0.232569545	337.9549428	77.34	7	4	0	0	13
397	ClC1=CC=C2C(=C1)C1=CC(Cl)=CC=C1C1=C2N=C(C2=NC(C3=NC4=C(S3)C3=CC=C(Br)C=C3C3=C4C=CC(Br)=C3)=NC(C3=CC=C4C=CC=CC4=C3)=N2)S1	2.0186	2.3192	2.5853	896.8825672	881.356	0.192480795	-0.231940186	341.0949316	64.45	8	3	0	0	11
398	ClC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=CC=C4)C4=CC(Cl)=CC=C45)=NC(C4=NC5=C(S4)C4=C(C=C(Cl)C=C4)C4=CC(Cl)=CC=C45)=N3)SC2=C1	2.0009	2.3191	2.6342	815.9352682	802.495	0.192563441	-0.23262307	330.8263801	77.34	7	4	0	0	13
399	ClC1=CC=C2N=C(C3=NC(C4=NC5=C(S4)C4=C(C=C(I)C=C4)C4=CC(I)=CC=C45)=NC(C4=NC5=C(O4)C4=C(C=CC=C4)C4=CC=CC=C45)=N3)SC2=C1	1.9912	2.3188	2.6464	949.8683248	933.876	0.265765777	-0.432842986	333.5942236	90.48	7	4	0	0	12
